time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2007-04-01T08:00:00,152.8,9.7,热带风暴(TS),8,18,,,998,200,,,
2007-04-01T14:00:00,152.3,10.2,热带风暴(TS),8,20,北西,20.0,996,200,,,
2007-04-01T20:00:00,151.4,10.4,热带风暴(TS),9,23,西北西,20.0,990,280,,,
2007-04-02T02:00:00,150.8,11.0,强热带风暴(STS),10,25,西北西,20.0,985,300,,,
2007-04-02T08:00:00,149.6,12.1,强热带风暴(STS),11,30,北西,20.0,980,300,100.0,,
2007-04-02T14:00:00,148.9,13.4,强热带风暴(STS),11,30,北西,20.0,980,300,100.0,,
2007-04-02T20:00:00,147.6,14.5,台风(TY),12,33,北西,20.0,975,330,110.0,,
2007-04-03T02:00:00,146.8,15.2,台风(TY),12,33,北西,20.0,975,300,100.0,,
2007-04-03T08:00:00,145.8,16.1,台风(TY),12,35,北北西,20.0,970,350,100.0,,
2007-04-03T14:00:00,144.7,16.9,台风(TY),13,38,北北西,25.0,965,320,100.0,,
2007-04-03T20:00:00,144.4,17.7,台风(TY),13,40,北,20.0,960,320,120.0,,
2007-04-04T02:00:00,144.2,18.7,台风(TY),13,40,北北西,20.0,955,330,130.0,,
2007-04-04T08:00:00,144.3,20.0,台风(TY),12,35,北北东,30.0,965,300,100.0,,
2007-04-04T14:00:00,145.1,21.0,强热带风暴(STS),11,30,北东,35.0,975,200,80.0,,
2007-04-04T20:00:00,146.5,22.0,强热带风暴(STS),11,30,北东,40.0,975,200,80.0,,
2007-04-05T02:00:00,148.2,23.6,强热带风暴(STS),10,25,北东,40.0,980,200,70.0,,
2007-04-05T08:00:00,150.1,23.9,热带风暴(TS),9,23,东北东,60.0,985,250,80.0,,
2007-04-05T14:00:00,152.6,25.2,热带风暴(TS),8,18,东北东,60.0,996,250,,,
