time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1952-06-09T14:00:00,117.9,14.8,热带低压(TD),7,15,,,992,,,,,,,,,,,,,,,,,
1952-06-09T20:00:00,117.5,14.8,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1952-06-10T02:00:00,117.0,15.0,强热带风暴(STS),10,25,,,988,,,,,,,,,,,,,,,,,
1952-06-10T08:00:00,116.6,15.3,强热带风暴(STS),11,30,,,987,,,,,,,,,,,,,,,,,
1952-06-10T14:00:00,116.3,16.3,强热带风暴(STS),11,30,,,985,,,,,,,,,,,,,,,,,
1952-06-10T20:00:00,116.0,17.3,强热带风暴(STS),11,30,,,983,,,,,,,,,,,,,,,,,
1952-06-11T02:00:00,115.6,18.3,强热带风暴(STS),11,30,,,981,,,,,,,,,,,,,,,,,
1952-06-11T08:00:00,114.9,19.1,台风(TY),12,35,,,978,,,,,,,,,,,,,,,,,
1952-06-11T14:00:00,114.4,19.5,台风(TY),12,35,,,971,,,,,,,,,,,,,,,,,
1952-06-11T20:00:00,113.9,19.9,台风(TY),13,40,,,966,,,,,,,,,,,,,,,,,
1952-06-12T02:00:00,113.3,20.3,台风(TY),13,40,,,962,,,,,,,,,,,,,,,,,
1952-06-12T08:00:00,112.6,20.6,台风(TY),13,40,,,960,,,,,,,,,,,,,,,,,
1952-06-12T14:00:00,112.1,20.7,台风(TY),13,40,,,961,,,,,,,,,,,,,,,,,
1952-06-12T20:00:00,111.7,20.9,台风(TY),12,35,,,970,,,,,,,,,,,,,,,,,
1952-06-13T02:00:00,111.4,21.2,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1952-06-13T08:00:00,111.2,21.5,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1952-06-13T14:00:00,111.1,22.0,热带风暴(TS),8,20,,,988,,,,,,,,,,,,,,,,,
1952-06-13T20:00:00,111.4,22.5,热带低压(TD),7,15,,,990,,,,,,,,,,,,,,,,,
1952-06-14T02:00:00,112.2,22.7,热带低压(TD),7,15,,,993,,,,,,,,,,,,,,,,,
1952-06-14T08:00:00,112.5,23.0,,5,10,,,993,,,,,,,,,,,,,,,,,
1952-06-14T14:00:00,112.8,23.3,,5,9,,,996,,,,,,,,,,,,,,,,,
1952-06-14T20:00:00,113.4,23.5,,5,9,,,1000,,,,,,,,,,,,,,,,,
1952-06-15T02:00:00,114.0,23.7,,5,9,,,1000,,,,,,,,,,,,,,,,,
1952-06-15T08:00:00,114.9,24.0,,5,9,,,1002,,,,,,,,,,,,,,,,,
